warmup_step:1/20
warmup_step:2/20
warmup_step:3/20
warmup_step:4/20
warmup_step:5/20
warmup_step:6/20
warmup_step:7/20
warmup_step:8/20
warmup_step:9/20
warmup_step:10/20
warmup_step:11/20
warmup_step:12/20
warmup_step:13/20
warmup_step:14/20
warmup_step:15/20
warmup_step:16/20
warmup_step:17/20
warmup_step:18/20
warmup_step:19/20
warmup_step:20/20
step:0/20000 val_loss:6.9344 val_bpb:4.1069 train_time:0ms step_avg:0.02ms
step:3150/20000 train_loss:2.1513 train_time:1727756ms step_avg:548.49ms
step:3160/20000 train_loss:2.2406 train_time:1733240ms step_avg:548.49ms
step:3170/20000 train_loss:2.2062 train_time:1738724ms step_avg:548.49ms
step:3180/20000 train_loss:2.1964 train_time:1744208ms step_avg:548.49ms
step:3190/20000 train_loss:2.1459 train_time:1749692ms step_avg:548.49ms
step:3200/20000 train_loss:2.2190 train_time:1755175ms step_avg:548.49ms
step:3210/20000 train_loss:2.1981 train_time:1760659ms step_avg:548.49ms
step:3220/20000 train_loss:2.1229 train_time:1766143ms step_avg:548.49ms
step:3230/20000 train_loss:2.2839 train_time:1771628ms step_avg:548.49ms
step:3240/20000 train_loss:2.1988 train_time:1777111ms step_avg:548.49ms
